consent1,consentsurvey1,participant,ideology,ideologynumber,pid3,party3,pid3_4_text,repstrong,demstrong,lean,party5,party7,partydiffs,partiesdiff,engagefactors_1,family,engagefactors_2,friends,engagefactors_3,school,engagefactors_4,newsmedia,engagefactors_5,religion,engagefactors_6,other,engagefactors_6_text,issueimpact_1,issueimpact_2,issueimpact_3,issueimpact_4,issueimpact_5,issueimpact_6,issueimpact_7,participationacts_1,participationacts_2,participationacts_3,participationacts_4,participationacts_5,participationacts_6,participationacts_7,participationacts_8,participationacts_9,participationacts_10,participationacts_11,participationacts_11_text,polquals_1,polquals_2,polquals_3,polquals_4,polquals_5,polquals_6,polquals_7,polquals_8,polquals_8_text,trumpthreat,issueprogress_1,issueprogress_2,issueprogress_3,issueprogress_4,issueprogress_5,issueprogress_6,issueprogress_7,issueprogress_8,issueprogress_9,willvote,hillaryinspire,womeninspire,womeninpolitics_1,womeninpolitics_2,womeninpolitics_3,womeninpolitics_4,womeninpolitics_5,womeninpolitics_6,womeninpolitics_7,womeninpolitics_8,gender,gender_3_text,race,race_6_text,consent,runoffice,seerunning,joblocal,jobregional,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q24_8,q24_9,q24_10,politicshome_1,politicshome_2,politicshome_3,politicshome_4,politicshome_5,politicshome_6,politicshome_7,politicshome_8,encourageenviron_1,encourageenviron_2,encourageenviron_3,encourageenviron_4,encourageenviron_5,encourageenviron_6,encourageenviron_7,encourageenviron_8,encourageenviron_9,encourageenviron_10,encourageenviron_11,encouraged_1,encouraged_2,encouraged_3,encouraged_4,encouraged_5,encouraged_6,encouraged_7,encouraged_8,encouragedoffice_1,encouragedoffice_2,encouragedoffice_3,encouragedoffice_4,encouragedoffice_5,encouragedoffice_6,encouragedoffice_7,encouragedoffice_8,q26,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9,q13_10,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q27_1,q27_2,q27_3,q27_4,q27_5,q28,q29,_merge
"I consent, begin the study","I consent, begin the study",1086,"Moderate, Middle of the Road","Moderate, Middle of the Road",Independent,Independent or Other,,,,Equally close to the Republican Party and the Democratic Party,Independent or Other,Independent,I don't know,I don't know,Somewhat Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Very Influential,Very Influential,Somewhat Influential,Somewhat Influential,,,,Some Impact,Strong Impact,Strong Impact,Strong Impact,Strong Impact,Strong Impact,Strong Impact,,,,,Discussed politics with friends or family members,,,,,,,,Not Sure/No Opinion,Not Sure/No Opinion,Not Sure/No Opinion,Not Sure/No Opinion,Not Sure/No Opinion,Not Sure/No Opinion,Not Sure/No Opinion,Not Sure/No Opinion,,1 - Not at all threatened,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,I would definitely vote.,5 - Very inspirational,5 - Very inspirational,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,,Hispanic/Latino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
"I consent, begin the study","I consent, begin the study",1088,"Moderate, Middle of the Road","Moderate, Middle of the Road",Independent,Independent or Other,,,,,Independent or Other,Independent,Yes,Yes,Somewhat Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Not Influential,Not Influential,Somewhat Influential,Somewhat Influential,Not Sure,,,,,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Strong Impact,,,,,Discussed politics with friends or family members,,,,Expressed interest in the Presidential Election through discussions with friends and family,,,,Not Very Important,Not Very Important,Somewhat Important,Extremely Important,Extremely Important,Extremely Important,Somewhat Important,,,5 - Very threatened,Some Progress,Some Progress,Some Progress,Some Progress,No Progress,Some Progress,No Progress,Some Progress,Some Progress,I would definitely vote.,4,5 - Very inspirational,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Female,,Hispanic/Latino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
"I consent, begin the study","I consent, begin the study",1090,"Moderate, Middle of the Road","Moderate, Middle of the Road",Independent,Independent or Other,,,,,Independent or Other,Independent,Yes,Yes,Not Influential,Not Influential,,,,,,,,,,,,,Strong Impact,,,,,,,Listened to a campaign radio program,,,,,,,,,,,Extremely Important,,,,,,,,,2,Strong Progress,,,,,,,,,I am not sure or haven't made up my mind about voting.,1 - Not at all inspirational,,Neither agree nor disagree,,,,,,,,Female,,Hispanic/Latino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
"I consent, begin the study","I consent, begin the study",110567,"Moderate, Middle of the Road","Moderate, Middle of the Road",Democrat,Democrat,,,Not very strong,,Weak Democrat,Weak Democrat,I don't know,I don't know,Somewhat Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Very Influential,Very Influential,Very Influential,Very Influential,Somewhat Influential,Somewhat Influential,Not Sure,,,Some Impact,Strong Impact,Strong Impact,Strong Impact,Some Impact,Strong Impact,Strong Impact,,,,Read about campaign in the newspaper or magazine,Discussed politics with friends or family members,,,Enjoyed talking about or learning about politics in school,,Watched a Primary Election Presidential Debate,,,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,,,5 - Very threatened,Some Progress,Some Progress,Some Progress,Some Progress,Some Progress,Some Progress,Some Progress,Some Progress,Some Progress,I would definitely vote.,3,5 - Very inspirational,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Female,,Hispanic/Latino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
"I consent, begin the study","I consent, begin the study",1112,Liberal,Liberal,Independent,Independent or Other,,,,Equally close to the Republican Party and the Democratic Party,Independent or Other,Independent,Yes,Yes,Not Sure,,Not Influential,Not Influential,Not Influential,Not Influential,Not Influential,Not Influential,Not Sure,,Not Sure,,,Strong Impact,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Expressed my opinion about the campaign through social media,Listened to a campaign radio program,,,,Developed a general interest in public affairs,Developed interest in a campaign,Enjoyed talking about or learning about politics in school,,Watched a Primary Election Presidential Debate,,,Extremely Important,Extremely Important,Not Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,,2,Strong Progress,Some Progress,Some Progress,Some Progress,Some Progress,,No Progress,No Progress,No Progress,I would definitely vote.,4,5 - Very inspirational,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Male,,White/Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
"I consent, begin the study","I consent, begin the study",111819,Liberal,Liberal,Democrat,Democrat,,,Not very strong,,Weak Democrat,Weak Democrat,Yes,Yes,Very Influential,Very Influential,Somewhat Influential,Somewhat Influential,Very Influential,Very Influential,Very Influential,Very Influential,Somewhat Influential,Somewhat Influential,,,,Strong Impact,Strong Impact,Strong Impact,Strong Impact,Strong Impact,Strong Impact,Strong Impact,,Listened to a campaign radio program,,Read about campaign in the newspaper or magazine,Discussed politics with friends or family members,,,Enjoyed talking about or learning about politics in school,,Watched a Primary Election Presidential Debate,,,Somewhat Important,Somewhat Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,,,5 - Very threatened,Strong Progress,Strong Progress,Strong Progress,Some Progress,Strong Progress,Some Progress,Some Progress,Strong Progress,Strong Progress,I would definitely vote.,3,5 - Very inspirational,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Female,,Hispanic/Latino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
"I consent, begin the study","I consent, begin the study",1119,Conservative,Conservative,Republican,Republican,,Not very strong,,,Weak Republican,Weak Republican,I don't know,I don't know,Not Influential,Not Influential,Not Influential,Not Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Not Influential,Not Influential,Not Sure,,,Some Impact,Some Impact,Some Impact,Some Impact,Strong Impact,Strong Impact,Strong Impact,,,,,,,,,,Watched a Primary Election Presidential Debate,,,Extremely Important,Somewhat Important,Extremely Important,Extremely Important,Extremely Important,Somewhat Important,Not Very Important,Somewhat Important,,3,No Progress,Some Progress,Some Progress,Some Progress,No Progress,Some Progress,No Progress,Some Progress,Some Progress,I would definitely vote.,2,3,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Male,,Asian/Pacific Islander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
"I consent, begin the study","I consent, begin the study",112577,"Moderate, Middle of the Road","Moderate, Middle of the Road",Democrat,Democrat,,,Not very strong,,Weak Democrat,Weak Democrat,Yes,Yes,Not Influential,Not Influential,Not Influential,Not Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Not Influential,Not Influential,,,,Some Impact,Strong Impact,Some Impact,Strong Impact,Strong Impact,Some Impact,Strong Impact,,,,Read about campaign in the newspaper or magazine,Discussed politics with friends or family members,,,,,,,,Not Sure/No Opinion,Somewhat Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,,,5 - Very threatened,Some Progress,Some Progress,Some Progress,Some Progress,No Progress,Some Progress,Some Progress,No Progress,No Progress,I would definitely vote.,4,5 - Very inspirational,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Male,,Multiple Ethnicity/Other (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
"I consent, begin the study","I consent, begin the study",113040,Liberal,Liberal,Democrat,Democrat,,,Not very strong,,Weak Democrat,Weak Democrat,I don't know,I don't know,Not Sure,,Not Sure,,Not Sure,,Not Sure,,Not Sure,,Not Sure,,,Strong Impact,Strong Impact,Strong Impact,Strong Impact,Strong Impact,Strong Impact,Strong Impact,,,,,,,,,Expressed interest in the Presidential Election through discussions with friends and family,,,,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,,1 - Not at all threatened,Strong Progress,Strong Progress,Strong Progress,Strong Progress,Strong Progress,Strong Progress,Strong Progress,Strong Progress,Strong Progress,I would definitely vote.,1 - Not at all inspirational,1 - Not at all inspirational,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,Male,,Hispanic/Latino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
"I consent, begin the study","I consent, begin the study",113043,Extremely Liberal,Extremely Liberal,Democrat,Democrat,,,Strong,,Strong Democrat,Strong Democrat,Yes,Yes,Very Influential,Very Influential,Very Influential,Very Influential,Very Influential,Very Influential,Very Influential,Very Influential,Somewhat Influential,Somewhat Influential,,,,Strong Impact,Strong Impact,Strong Impact,Strong Impact,Strong Impact,Some Impact,Strong Impact,,,,,,,Developed interest in a campaign,Enjoyed talking about or learning about politics in school,,,,,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,,,3,Strong Progress,Strong Progress,Strong Progress,Strong Progress,Strong Progress,Strong Progress,Strong Progress,Strong Progress,Strong Progress,I would definitely vote.,3,5 - Very inspirational,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Female,,Hispanic/Latino,,"I consent, begin the study",Never thought about it.,"No, I'd never run.",Salesperson,Principal,,,,,Nurse,,,,,,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,,,,,Teacher,,,,,,,,,Coach,,,Maybe,Not important at all,Not important at all,Important,Important,Important,Important,Important,Slightly important,Not important at all,Important,I am friendly.,I am smart.,I am confident.,I am cooperative.,I am competitive.,I am ambitious.,I am assertive.,I am generally pretty good at most things I do.,,,,,I neither agree or disagree with this statement.,I neither agree or disagree with this statement.,matched (3)
"I consent, begin the study","I consent, begin the study",113070,"Moderate, Middle of the Road","Moderate, Middle of the Road",Other (please specify),Independent or Other,,,,Equally close to the Republican Party and the Democratic Party,Independent or Other,Independent,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
"I consent, begin the study","I consent, begin the study",113161,Liberal,Liberal,Democrat,Democrat,,,Strong,,Strong Democrat,Strong Democrat,Yes,Yes,Somewhat Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Somewhat Influential,Very Influential,Very Influential,Not Influential,Not Influential,Not Sure,,,Strong Impact,Some Impact,Strong Impact,Strong Impact,No Impact,Some Impact,Strong Impact,,,,Read about campaign in the newspaper or magazine,Discussed politics with friends or family members,Developed a general interest in public affairs,,Enjoyed talking about or learning about politics in school,Expressed interest in the Presidential Election through discussions with friends and family,Watched a Primary Election Presidential Debate,,,Somewhat Important,Somewhat Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,,,5 - Very threatened,Some Progress,Some Progress,Some Progress,Some Progress,Some Progress,Some Progress,Some Progress,Some Progress,Some Progress,I would definitely vote.,2,4,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Male,,Asian/Pacific Islander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
